DrugBank ID,bit_0,bit_1,bit_2,bit_3,bit_4,bit_5,bit_6,bit_7,bit_8,bit_9,bit_10,bit_11,bit_12,bit_13,bit_14,bit_15,bit_16,bit_17,bit_18,bit_19,bit_20,bit_21,bit_22,bit_23,bit_24,bit_25,bit_26,bit_27,bit_28,bit_29,bit_30,bit_31,bit_32,bit_33,bit_34,bit_35,bit_36,bit_37,bit_38,bit_39,bit_40,bit_41,bit_42,bit_43,bit_44,bit_45,bit_46,bit_47,bit_48,bit_49,bit_50,bit_51,bit_52,bit_53,bit_54,bit_55,bit_56,bit_57,bit_58,bit_59,bit_60,bit_61,bit_62,bit_63,bit_64,bit_65,bit_66,bit_67,bit_68,bit_69,bit_70,bit_71,bit_72,bit_73,bit_74,bit_75,bit_76,bit_77,bit_78,bit_79,bit_80,bit_81,bit_82,bit_83,bit_84,bit_85,bit_86,bit_87,bit_88,bit_89,bit_90,bit_91,bit_92,bit_93,bit_94,bit_95,bit_96,bit_97,bit_98,bit_99
DB00006,1.7578,3.6634,2.121,0.1735,-1.716,2.7093,0.0476,-1.28,0.4801,-0.027,0.1075,0.8805,-0.7053,-0.0215,0.0644,-0.8212,1.5922,-0.1188,-1.1017,0.7656,0.9426,0.9719,-0.0017,0.5158,1.0093,-0.5737,0.8493,-0.3858,-1.0261,-0.284,-0.2378,-0.8465,-0.8802,-0.6982,-1.6344,-0.7784,0.4868,0.7365,0.0154,0.2507,-0.7965,-0.3987,0.229,0.5519,0.3252,-0.0644,0.1387,-0.424,-0.1492,0.6406,0.6042,0.2729,0.1036,0.1291,-0.0974,0.3399,0.0793,-0.1265,-0.0253,0.4463,-0.3934,-0.5192,-0.5357,0.0693,0.2995,1.0732,-0.0195,-0.0729,-0.0082,0.3557,-0.0374,0.3942,-0.0771,0.1893,-0.2482,-0.4235,-0.4081,0.157,-0.3099,0.3257,-0.045,0.4095,0.1691,-0.1407,-0.256,-0.1145,-0.2184,-0.0376,0.0561,0.3261,-0.3783,0.4104,0.0954,-0.0316,0.4881,-0.3473,0.2739,-0.2178,-0.1082,0.0398
DB00014,2.4452,3.5776,1.337,-0.5087,-1.47,2.8821,0.1891,-1.82,-0.5461,-1.0598,-0.8986,0.5777,-0.3274,0.5608,-0.6561,-0.3651,1.2594,0.4862,-0.7383,-0.3697,1.2123,1.5282,0.8262,0.6244,0.1892,-0.6158,-0.2081,-0.114,0.0628,0.3872,-1.4924,-0.913,-0.1802,-1.0834,-0.8541,0.749,-0.063,0.2978,-0.3528,1.8305,0.4203,0.8408,0.2785,0.26,-0.0348,-0.1525,-0.4301,-0.3788,-0.806,0.2926,-0.5116,-0.6153,-0.3331,-0.1687,0.0708,0.0717,-0.0539,0.0119,-0.1498,0.7653,-0.4579,0.9357,0.3521,0.4647,-0.2097,-0.1077,-0.3112,-0.4349,-0.6108,-0.1804,-0.8942,-0.5567,-0.2191,0.1533,0.2908,-0.321,-0.2263,0.1373,-0.1407,-0.1544,0.3047,-0.9703,-0.5262,0.6029,-0.1701,-0.8816,-0.1363,-0.4354,0.2629,-0.4737,0.2256,-0.1324,0.5861,-0.1779,0.2946,-0.6464,-0.8876,0.0493,-0.002,-0.2776
DB00035,1.9799,2.9264,1.1306,1.0781,-1.3859,2.5991,0.3249,-1.5401,0.1087,0.0789,-0.5315,1.0272,-1.1714,0.659,-0.2586,-0.0166,0.5657,-0.3662,-0.8769,-0.5933,0.3236,0.8895,0.743,-0.3486,0.5888,-0.6802,-0.3077,-0.3159,-1.0073,-0.4379,0.6642,0.4528,-0.7457,0.3246,0.0122,-0.7152,0.39,-0.7658,-0.3899,-0.2025,-0.5041,0.3713,-0.0402,0.4923,0.9567,0.1767,0.0658,-1.0835,-0.4685,0.1402,0.2911,0.0712,-0.5575,0.9194,-0.8726,0.712,0.0417,0.7169,-0.9173,-0.6722,0.0525,-0.0861,-0.4849,0.1186,-0.4068,0.5312,0.2712,0.2877,-0.7189,2.105,-0.5809,-0.1935,-0.2534,-0.3129,-0.4919,-0.1523,-0.5066,0.558,0.4624,-0.4258,-0.4727,0.5,-0.0201,0.3002,0.4231,0.8936,0.6251,-0.0738,-0.4405,0.2043,0.5064,0.2877,-0.7659,0.2836,-0.6271,-0.4378,0.1869,-0.0752,-0.4119,-0.4337
DB00091,1.5443,-0.1538,0.6755,0.4746,0.1051,1.3111,-0.0749,0.3293,-0.1527,-0.3112,0.1391,0.1509,1.2988,-0.7817,0.6543,0.824,-0.3777,0.3117,-0.1226,-0.6673,-0.4145,0.1029,-0.6131,-0.3748,-0.2295,0.1581,-0.3823,-0.6136,-0.0144,0.12,-0.209,0.5978,0.1231,0.5363,0.9352,0.1905,-0.5046,0.1824,-0.0218,0.066,0.1857,-0.1841,0.3609,-0.2127,0.0622,-0.5609,0.2291,0.4419,0.3472,0.0999,0.6031,0.244,0.6438,0.5165,-0.1761,-0.4577,0.0509,-0.6766,0.9953,-0.1614,-0.0158,-0.0074,-0.1435,0.6235,-0.5737,0.2155,-0.0066,-0.2519,-0.3857,0.0068,-0.3842,0.252,-0.2237,0.4753,-0.7984,0.2162,-0.3386,0.4052,0.595,-0.138,0.1784,1.1854,-0.2453,0.0436,0.6065,-0.265,-0.1685,0.7148,-0.9293,0.6703,-0.1661,-0.3604,0.0569,-0.5087,-0.0241,-0.1857,0.2028,-0.3637,-0.6688,-0.3607
DB00104,1.6696,2.4131,2.1346,0.6736,-1.4088,2.1459,1.6155,-1.1714,-0.6937,0.1131,-1.0364,1.11,-0.3606,0.212,-1.7259,1.0137,-0.6815,-0.4923,0.4249,-1.4165,-0.237,-0.1775,-1.0193,-0.8716,-0.877,-0.1893,0.2324,0.5877,1.2562,-0.9387,-0.6339,1.6956,0.7095,0.7575,0.4023,0.4356,-1.0434,-1.3496,-1.062,-0.9035,0.2298,0.0126,0.5488,-0.9745,-0.3983,-0.0596,-0.458,0.4425,-0.0317,-0.279,-0.3286,-0.5818,-0.5053,0.5523,0.3188,-0.0694,0.0293,0.0259,-0.3368,-0.3374,0.6072,-0.4303,0.53,0.1457,0.1378,-0.6123,0.1665,0.4826,0.1622,-0.404,0.4598,-0.1222,0.267,-0.0834,-0.3103,-0.2628,0.3325,0.1089,-0.3266,-0.0855,-0.7382,-0.5333,0.1201,0.1031,0.2924,0.5245,0.4187,0.6231,0.4423,0.484,0.0704,-0.4145,0.3741,0.3549,-0.1123,0.6706,-0.1487,-0.1188,0.0784,-0.0381
DB00115,2.2638,0.1448,0.9389,-1.747,1.2686,0.5004,1.2403,1.0147,0.1428,-0.4801,0.166,-0.3904,-0.6452,0.4328,0.2847,0.1056,-0.2629,-0.2821,-0.2544,0.5094,1.5867,-0.8684,-1.638,0.1647,0.473,-0.2701,0.6747,0.017,0.3012,0.0883,0.5082,-0.5663,-0.2334,-0.8736,0.5837,-0.839,-0.523,0.5517,0.1659,-0.5394,-1.0402,-0.8441,-0.4653,0.6399,-0.736,0.0104,0.6879,-0.3083,1.1295,0.6053,-0.3212,-0.1866,0.6406,-0.1316,-0.0832,0.8659,2.1544,0.4736,0.1696,-0.4919,-0.1954,1.0848,-0.0052,-0.7862,-0.241,0.066,0.4936,0.3076,-0.5332,1.2396,-0.3037,-0.9106,0.3259,0.4017,0.5705,0.899,1.3816,-0.5226,0.0534,0.1075,-0.9432,1.45,0.3672,0.0629,-0.0271,-0.0681,0.4528,0.6342,-0.3585,2.4164,0.1482,0.532,0.1135,0.2127,1.3279,-1.3972,0.2835,-0.3577,0.6373,1.2702
DB00120,-0.8823,0.4672,1.3988,0.9652,-0.5892,-0.2913,0.276,-0.2232,0.4596,0.391,-0.4427,-0.2125,-0.3996,0.2822,-0.7304,-0.3373,0.2513,-0.0036,-0.5632,0.544,-0.0203,0.2296,-0.0301,-0.0849,0.2933,0.2065,0.0652,0.1823,0.3437,-0.0094,0.124,0.5504,0.0104,-0.045,0.1585,0.2245,0.0087,-0.0875,0.1733,-0.1523,0.2191,-0.2681,-0.1517,0.2892,0.041,-0.1639,0.245,-0.143,0.3623,-0.1138,0.2501,-0.3059,-0.1791,-0.1851,0.2293,0.0951,-0.2924,-0.1845,-0.0357,0.0272,0.0991,-0.2614,-0.2188,0.1392,0.6505,0.0111,0.0295,0.0277,0.5218,-0.0679,0.334,0.0979,0.3235,0.076,-0.2473,-0.2998,0.0619,-0.389,-0.6442,0.0481,-0.1014,0.1107,0.2507,-0.1725,-0.0052,0.3297,0.0866,0.5503,0.197,0.1831,-0.0837,0.1654,0.2201,-0.1409,-0.1746,-0.2203,-0.0531,-0.3334,0.0323,-0.1247
DB00122,-1.2505,-1.559,0.7041,0.1129,0.0497,0.4794,-0.2379,0.2316,0.1591,-0.0868,0.1222,0.2177,-0.1263,0.3527,0.0468,0.2878,-0.0491,-0.0396,-0.1116,-0.3422,0.1438,0.1269,-0.1624,0.5003,-0.1952,-0.1414,-0.2235,0.0983,-0.0689,-0.0371,-0.156,-0.3674,0.3246,-0.0852,0.015,0.1422,-0.5204,-0.0972,-0.0496,0.0636,-0.1984,0.0144,0.1791,-0.273,-0.3372,-0.0039,-0.12,0.1986,-0.1417,-0.0428,-0.2596,-0.0484,-0.0508,-0.5133,-0.0361,0.0322,-0.2633,-0.0838,0.0736,0.2466,-0.0942,-0.0174,0.1388,0.1766,-0.0631,0.0993,0.0967,-0.15,-0.2323,0.0725,0.0058,0.5727,-0.0613,-0.0397,0.1685,0.0353,0.3902,-0.0983,0.068,-0.3278,0.041,-0.3024,-0.3327,-0.022,0.4141,-0.1101,-0.0241,0.0621,0.2821,0.0955,-0.3175,0.0744,-0.0242,0.3874,-0.0687,0.3593,-0.2289,-0.0409,-0.1976,0.1045
DB00126,-0.2568,-0.8638,0.7951,0.7145,0.269,0.4911,0.1862,0.5572,-0.3372,0.1723,0.0911,0.0592,0.4303,0.7624,0.0678,0.2757,-0.1274,0.3758,0.0826,-0.1871,-0.248,0.402,-0.0497,-0.135,-0.1415,-0.214,-0.5181,-0.0871,0.5396,0.3408,-0.5328,-0.1723,-0.2781,0.0343,0.4515,-0.3951,0.2145,-0.0576,-0.5973,-0.1727,-0.0598,0.2788,0.0285,-0.1026,0.3361,-0.3341,0.3762,0.1146,0.408,-0.2608,-0.0063,0.0009,0.0922,-0.0383,-0.3039,0.3372,-0.2205,0.3324,0.3726,-0.0697,-0.3477,0.1053,-0.1677,0.0851,0.3503,0.0274,-0.0982,-0.2129,-0.2415,-0.1365,0.087,0.0134,-0.3183,-0.2661,-0.6076,0.0817,0.271,0.0669,-0.0476,-0.1361,0.2201,0.02,-0.4846,-0.225,-0.0178,0.0133,-0.163,0.0768,-0.1458,-0.2422,0.1022,-0.5331,0.0904,0.0527,0.2658,0.1494,-0.3382,0.1491,-0.1225,0.0536
DB00136,1.3113,-1.5588,0.5398,0.1578,-1.5016,1.2435,-0.9802,0.3222,-1.2505,-0.3977,1.2958,-1.0251,0.2446,-1.0533,0.8774,0.1126,0.1048,-0.4472,1.1362,-0.5274,0.9375,-0.147,0.4542,0.0874,0.9449,0.6996,-0.4047,0.4189,-0.4565,-0.5603,-0.4688,-0.2023,2.8277,0.1157,0.1473,0.7283,0.1371,-0.0379,-0.5604,0.6642,0.6995,-0.2129,-0.6303,0.9575,0.44,-0.3069,-0.5911,0.2821,0.455,-0.1435,-0.4591,-0.6003,-0.613,-0.2467,-0.4764,0.2974,-0.0165,0.035,-0.1414,-0.2363,0.4464,-0.1313,-0.385,-0.069,-0.4092,0.7307,0.1351,0.1248,0.8482,0.2583,0.385,-0.0491,-0.1649,-0.0003,0.3214,0.2733,-0.0976,-0.0609,-0.2205,0.114,0.7506,-0.6404,0.2577,0.0463,0.2091,0.2382,0.3676,-0.4056,-0.0153,0.2333,0.5342,-0.2061,0.0142,0.0503,0.3429,0.0387,-0.3411,-0.1698,-0.5304,-0.251
